Code,Name,Credits
159.101,Programming Fundamentals,15
159.102,Computer Science Fundamentals,15
159.103,Introduction to Games Programming and Simulation,15
159.171,Computational Thinking and Software Development,15
159.172,Computational Thinking and Algorithms,15
159.201,Algorithms and Data Structures,15
159.202,Declarative Programming,15
159.233,Computer Architecture,15
159.234,Object-Oriented Programming,15
159.235,Graphical Programming,15
159.251,Software Engineering Design and Construction,15
159.253,Computer Systems,15
159.270,Hardware-Oriented Computing,15
159.271,Computational Thinking for Problem Solving,15
159.272,Programming Paradigms,15
159.302,Artificial Intelligence,15
159.331,Algorithms and Languages,15
159.333,Programming Project,15
159.334,Computer Networks,15
159.335,Concurrent Programming and Operating Systems,15
159.336,Mobile Application Development,15
159.339,Internet Programming,15
159.352,Advanced Web Development,15
159.354,Data Communication Networks,15
159.355,Concurrent Systems,15
159.356,Software Engineering Capstone Project,15
159.360,Programming for Computer Graphics,15
159.372,Intelligent Machines,15
159.709,Computer Graphics,30
159.731,Studies in Computer Vision,30
159.735,Studies in Parallel and Distributed Systems,30
159.736,Studies in Operating Systems and Architecture,30
159.737,Studies in Compilers and Grammars,30
159.740,Studies in Intelligent Systems,30